journal	count
PLoS ONE	3507
The Journal of Cell Biology	876
Nucleic Acids Research	532
Molecular Biology of the Cell	400
The Journal of Experimental Medicine	344
PLoS Pathogens	339
PLoS Genetics	326
Cell Death &amp; Disease	239
Oncotarget	238
The Journal of Biological Chemistry	238
Molecular Cancer	227
Diabetes	225
Oncogene	217
International Journal of Molecular Sciences	183
PLoS Biology	153
BMC Cancer	151
Journal of Cellular and Molecular Medicine	136
British Journal of Cancer	122
eLife	118
Frontiers in Immunology	116
Scientific Reports	116
Nature Communications	107
Journal of Neuroinflammation	102
Arthritis Research &amp; Therapy	99
Evidence-based Complementary and Alternative Medicine : eCAM	98
Breast Cancer Research : BCR	96
Mediators of Inflammation	94
Cell Communication and Signaling : CCS	93
Acta Pharmacologica Sinica	92
BioMed Research International	91
Retrovirology	66
Frontiers in Oncology	60
The EMBO Journal	59
Biochemical Journal	58
EMBO Molecular Medicine	57
PPAR Research	57
Nature immunology	56
Respiratory Research	55
BMC Cell Biology	53
International Journal of Biological Sciences	50
Journal of Biomedicine and Biotechnology	50
Viruses	50
Nature communications	49
Cancers	47
Oxidative Medicine and Cellular Longevity	47
PLoS Computational Biology	46
The Journal of General Physiology	46
Frontiers in Physiology	45
Journal of Molecular Signaling	45
Nature cell biology	44
Journal of Biomedical Science	43
Cellular and Molecular Life Sciences	41
Frontiers in Endocrinology	41
BMC Molecular Biology	40
Frontiers in Genetics	39
Frontiers in Plant Science	38
Molecular Vision	36
Frontiers in Cellular Neuroscience	35
Frontiers in Pharmacology	35
Journal of Translational Medicine	35
Frontiers in Molecular Neuroscience	34
Molecular Neurodegeneration	34
Molecular Pain	34
BMC Immunology	32
Cell Division	32
Experimental &amp; Molecular Medicine	32
Nature structural &amp; molecular biology	32
Journal of Inflammation (London, England)	31
Journal of Signal Transduction	31
Nature neuroscience	31
BMC Complementary and Alternative Medicine	30
BMC Neuroscience	30
Molecular Systems Biology	29
Biomolecules &amp; Therapeutics	28
Frontiers in Microbiology	28
JAK-STAT	28
Nature	28
Virology Journal	28
Cardiovascular Diabetology	27
Journal of Experimental Botany	27
Physiological Reports	27
Cancer Cell International	26
Cells	26
Molecular Cell	26
Aging (Albany NY)	25
BMC Biochemistry	25
International Journal of Oncology	25
Cell Research	24
Drug Design, Development and Therapy	24
Molecular Brain	24
Oncogenesis	24
BMC Genomics	23
Cell Cycle	23
Clinical Epigenetics	23
Human Molecular Genetics	23
BMC Biology	22
Environmental Health Perspectives	22
Frontiers in Neuroscience	22
International Journal of Cell Biology	22
Journal of Oncology	22
Open Biology	22
Pharmaceuticals	22
Journal of Cell Science	21
Journal of Experimental &amp; Clinical Cancer Research : CR	21
Lipids in Health and Disease	21
Nature medicine	21
BMC Systems Biology	20
Cell &amp; Bioscience	20
Epigenetics &amp; Chromatin	20
Journal of Hematology &amp; Oncology	20
Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease	20
mBio	20
Toxins	20
Experimental Diabetes Research	19
Purinergic Signalling	19
Biology Open	18
Current Neuropharmacology	18
BMC Plant Biology	17
Cell Death and Differentiation	17
Genome Biology	17
Nature chemical biology	17
Redox Biology	17
The Scientific World Journal	17
BMC Microbiology	16
FEBS Open Bio	16
Genes &amp; Cancer	16
Molecular Metabolism	16
Nutrients	16
Biochimica et Biophysica Acta	15
British Journal of Pharmacology	15
Cardiovascular Research	15
Biochemistry	14
BMC Developmental Biology	14
International Journal of Endocrinology	14
Leukemia	14
Marine Drugs	14
Proceedings of the Japan Academy. Series B, Physical and Biological Sciences	14
Reproductive Biology and Endocrinology : RB&amp;E	14
Bioscience Reports	13
BMB Reports	13
Frontiers in Aging Neuroscience	13
International Journal of Alzheimer's Disease	13
International Journal of Molecular Medicine	13
Molecular Microbiology	13
Nutrition &amp; Metabolism	13
Biomolecules	12
Blood Cancer Journal	12
Breast Cancer Research	12
Cell	12
Chinese Journal of Cancer	12
Diabetologia	12
Disease Models &amp; Mechanisms	12
Epigenetics	12
Fibrogenesis &amp; Tissue Repair	12
Genetics	12
Journal of Korean Medical Science	12
Laboratory investigation; a journal of technical methods and pathology	12
Molecules and Cells	12
Mucosal immunology	12
Nuclear Receptor Signaling	12
OncoTargets and therapy	12
Scientifica	12
Biology	11
Carcinogenesis	11
Cellular Signalling	11
Clinical and Developmental Immunology	11
Journal of Bone and Mineral Research	11
Journal of Clinical Biochemistry and Nutrition	11
Journal of Diabetes Research	11
Molecular Medicine Reports	11
Oncology Letters	11
Protein &amp; Cell	11
Aging Cell	10
Cell reports	10
Developmental Cell	10
Gastroenterology Research and Practice	10
Genes	10
Immune Network	10
Journal of Cell Communication and Signaling	10
Journal of Lipid Research	10
Kidney international	10
Neural Plasticity	10
Skeletal Muscle	10
Cell death and differentiation	9
Cell Metabolism	9
Current Biology	9
Current Genomics	9
Frontiers in Cellular and Infection Microbiology	9
Frontiers in Neuroanatomy	9
Journal of Immunology Research	9
Molecular Biology International	9
ASN NEURO	8
Basic Research in Cardiology	8
Biochemistry Research International	8
Brazilian Journal of Medical and Biological Research	8
Cellular and Molecular Life Sciences 	8
Frontiers in Behavioral Neuroscience	8
Frontiers in Psychiatry	8
Immunity	8
International Journal of Chronic Obstructive Pulmonary Disease	8
Journal of Diabetes Investigation	8
Journal of Molecular Medicine (Berlin, Germany)	8
Molecular &amp; Cellular Proteomics : MCP	8
Neural Development	8
Oncoscience	8
Pflugers Archiv	8
Pulmonary Circulation	8
SpringerPlus	8
The Journal of Endocrinology	8
Apoptosis	7
BMC Gastroenterology	7
Cancer Medicine	7
European Journal of Immunology	7
International Journal of Medical Sciences	7
Journal of Cancer	7
Journal of Ovarian Research	7
Neural Regeneration Research	7
Neuron	7
Particle and Fibre Toxicology	7
PLoS Neglected Tropical Diseases	7
Stem Cell Research &amp; Therapy	7
The FASEB Journal	7
The Journal of investigative dermatology	7
The Open Biochemistry Journal	7
Vascular Health and Risk Management	7
Acta Neuropathologica	6
Arthritis Research	6
BMC Medicine	6
BMC Pharmacology	6
Cellular Logistics	6
Chemical Reviews	6
Clinical Science (London, England : 1979)	6
Critical Care	6
Current Pharmaceutical Design	6
Development (Cambridge, England)	6
Dialogues in Clinical Neuroscience	6
Experimental and Therapeutic Medicine	6
G3: Genes|Genomes|Genetics	6
Gene Regulation and Systems Biology	6
Journal of Allergy	6
Journal of Biomedical Research	6
Journal of Lipids	6
Journal of Molecular and Cellular Cardiology	6
Journal of Nucleic Acids	6
Membranes	6
Molecular and Cellular Biology	6
Molecular Psychiatry	6
PLoS Medicine	6
Stem Cells (Dayton, Ohio)	6
Autophagy	5
